#P	count	tag	form
1.00	1	NOUN	gäzite
1.00	4	ADJ	itelgän
1.00	1	NOUN	tatarlar
1.00	1	NOUN	martında
1.00	1	NOUN	isäptä
1.00	1	NOUN	modellären
1.00	1	NOUN	elektron
1.00	1	NOUN	alu
1.00	1	NOUN	urtası
1.00	2	INTJ	h
1.00	1		başlanğan
1.00	22	PUNCT	:
1.00	1	ADJ	törle
1.00	1	PRON	barısı
1.00	1	NOUN	yıllarına
1.00	1	NOUN	proektı
1.00	4	NOUN	däwlät
1.00	1	NOUN	kübese
1.00	2	OTHER	tä
1.00	1	NOUN	radiosı
1.00	2	VERB	uylap
1.00	1	PRON	başqalar
1.00	4	NOUN	Milli
1.00	1	NOUN	üseşe
1.00	1	NOUN	tellärendäge
1.00	1	VERB	kürä
1.00	2	NOUN	yıllardağı
1.00	1	NOUN	Sabirjan
1.00	1	VERB	almaşu
1.00	1	VERB	kilä
